"日付け","終値","始値","高値","安値","出来高","前日比%"
"2008年06月19日","59,900.0","59,200.0","59,900.0","58,800.0","14.10K","1.18%"
"2008年06月18日","59,200.0","59,100.0","59,600.0","58,800.0","10.20K","0.00%"
"2008年06月17日","59,200.0","59,700.0","59,800.0","59,100.0","16.70K","-0.34%"
"2008年06月16日","59,400.0","58,000.0","59,400.0","58,000.0","24.20K","3.13%"
"2008年06月13日","57,600.0","56,800.0","57,800.0","56,800.0","126.50K","1.59%"
"2008年06月12日","56,700.0","55,400.0","56,700.0","55,100.0","74.80K","0.18%"
"2008年06月11日","56,600.0","56,000.0","57,000.0","55,700.0","17.80K","0.89%"
"2008年06月10日","56,100.0","57,400.0","57,400.0","56,000.0","15.20K","-1.75%"
"2008年06月09日","57,100.0","56,600.0","57,400.0","56,600.0","29.60K","-1.72%"
"2008年06月06日","58,100.0","58,700.0","59,100.0","58,100.0","23.30K","0.69%"
"2008年06月05日","57,700.0","57,900.0","58,000.0","57,500.0","8.10K","-0.17%"
"2008年06月04日","57,800.0","56,800.0","57,900.0","56,600.0","17.20K","2.66%"
"2008年06月03日","56,300.0","56,400.0","57,300.0","56,300.0","20.70K","-0.35%"
"2008年06月02日","56,500.0","57,600.0","57,700.0","56,500.0","25.10K","-3.09%"
"2008年05月30日","58,300.0","58,400.0","58,700.0","57,700.0","10.40K","0.69%"
"2008年05月29日","57,900.0","58,600.0","58,600.0","57,700.0","15.80K","-0.17%"
"2008年05月28日","58,000.0","59,000.0","59,100.0","57,900.0","19.90K","-2.03%"
"2008年05月27日","59,200.0","59,000.0","59,500.0","58,800.0","11.50K","0.51%"
"2008年05月26日","58,900.0","58,300.0","59,300.0","58,100.0","16.80K","0.17%"
"2008年05月23日","58,800.0","59,400.0","60,000.0","58,800.0","22.80K","-0.84%"
"2008年05月22日","59,300.0","58,300.0","59,400.0","58,000.0","23.10K","-0.50%"
"2008年05月21日","59,600.0","60,600.0","60,600.0","59,200.0","22.40K","-2.45%"
"2008年05月20日","61,100.0","61,600.0","61,800.0","60,900.0","22.70K","0.00%"
"2008年05月19日","61,100.0","60,300.0","61,400.0","59,800.0","31.10K","2.00%"
"2008年05月16日","59,900.0","59,700.0","61,500.0","59,700.0","55.70K","1.18%"
"2008年05月15日","59,200.0","58,700.0","59,900.0","58,700.0","30.30K","1.54%"
"2008年05月14日","58,300.0","58,200.0","58,400.0","58,000.0","13.00K","0.52%"
"2008年05月13日","58,000.0","58,000.0","58,200.0","57,400.0","14.90K","0.87%"
"2008年05月12日","57,500.0","57,100.0","57,600.0","57,100.0","7.50K","-0.17%"
"2008年05月09日","57,600.0","57,800.0","58,000.0","57,500.0","12.00K","-0.69%"
"2008年05月08日","58,000.0","58,200.0","58,400.0","57,800.0","16.50K","-0.17%"
"2008年05月07日","58,100.0","58,000.0","58,500.0","57,700.0","22.00K","2.29%"
"2008年05月02日","56,800.0","56,800.0","56,800.0","56,200.0","22.50K","1.79%"
"2008年05月01日","55,800.0","56,700.0","57,000.0","55,800.0","16.60K","-1.76%"
"2008年04月30日","56,800.0","57,200.0","57,500.0","56,600.0","18.90K","-1.56%"
"2008年04月28日","57,700.0","58,000.0","58,100.0","56,800.0","19.00K","1.05%"
"2008年04月25日","57,100.0","57,700.0","58,000.0","56,300.0","50.30K","-1.89%"
"2008年04月24日","58,200.0","58,400.0","59,000.0","57,900.0","30.20K","-0.68%"
"2008年04月23日","58,600.0","57,600.0","59,400.0","56,800.0","31.70K","0.86%"
"2008年04月22日","58,100.0","58,000.0","58,800.0","57,600.0","27.30K","-1.53%"
"2008年04月21日","59,000.0","56,800.0","59,000.0","56,800.0","51.20K","6.69%"
"2008年04月18日","55,300.0","54,100.0","55,300.0","53,300.0","34.50K","5.13%"
"2008年04月17日","52,600.0","53,700.0","54,000.0","52,300.0","31.10K","0.77%"
"2008年04月16日","52,200.0","54,000.0","54,000.0","52,200.0","26.00K","-2.43%"
"2008年04月15日","53,500.0","54,500.0","54,700.0","53,300.0","28.50K","-4.29%"
"2008年04月14日","55,900.0","54,500.0","55,900.0","54,500.0","19.60K","0.72%"
"2008年04月11日","55,500.0","55,900.0","56,000.0","55,400.0","22.50K","0.18%"
"2008年04月10日","55,400.0","54,000.0","55,500.0","53,600.0","21.90K","1.84%"
"2008年04月09日","54,400.0","55,500.0","55,600.0","54,100.0","15.40K","-1.09%"
"2008年04月08日","55,000.0","55,800.0","56,100.0","54,900.0","24.10K","-2.31%"
"2008年04月07日","56,300.0","54,500.0","56,500.0","53,800.0","34.10K","2.74%"
"2008年04月04日","54,800.0","54,200.0","54,800.0","53,900.0","23.40K","1.67%"
"2008年04月03日","53,900.0","54,300.0","54,600.0","53,600.0","31.00K","-1.28%"
"2008年04月02日","54,600.0","53,600.0","54,600.0","53,500.0","34.90K","4.80%"
"2008年04月01日","52,100.0","51,400.0","52,200.0","51,200.0","29.10K","2.36%"
"2008年03月31日","50,900.0","51,900.0","51,900.0","50,400.0","21.50K","-2.30%"
"2008年03月28日","52,100.0","51,000.0","52,400.0","51,000.0","17.50K","1.96%"
"2008年03月27日","51,100.0","51,300.0","51,400.0","50,600.0","22.90K","-2.29%"
"2008年03月26日","52,300.0","52,700.0","53,200.0","52,000.0","18.30K","-2.97%"
"2008年03月25日","53,900.0","54,300.0","54,500.0","53,300.0","34.70K","1.13%"
"2008年03月24日","53,300.0","52,000.0","53,900.0","51,600.0","21.50K","3.09%"
"2008年03月21日","51,700.0","52,800.0","52,900.0","51,100.0","24.90K","-1.15%"
"2008年03月19日","52,300.0","52,100.0","52,600.0","51,500.0","39.10K","5.34%"
"2008年03月18日","49,650.0","48,550.0","49,650.0","47,550.0","34.90K","2.16%"
"2008年03月17日","48,600.0","50,200.0","50,300.0","47,850.0","42.50K","-5.81%"
"2008年03月14日","51,600.0","52,000.0","52,900.0","50,500.0","185.80K","0.39%"
"2008年03月13日","51,400.0","53,500.0","53,500.0","50,500.0","32.50K","-4.81%"
"2008年03月12日","54,000.0","55,600.0","55,700.0","53,700.0","27.40K","1.69%"
"2008年03月11日","53,100.0","50,200.0","53,200.0","49,850.0","43.10K","3.71%"
"2008年03月10日","51,200.0","52,100.0","53,000.0","51,000.0","26.60K","-2.66%"
"2008年03月07日","52,600.0","52,800.0","53,700.0","52,200.0","32.60K","-4.88%"
"2008年03月06日","55,300.0","55,000.0","56,000.0","54,700.0","31.20K","3.95%"
"2008年03月05日","53,200.0","51,600.0","53,200.0","51,600.0","29.40K","2.50%"
"2008年03月04日","51,900.0","51,000.0","52,500.0","50,800.0","49.60K","3.39%"
"2008年03月03日","50,200.0","50,300.0","51,100.0","50,200.0","51.30K","-5.82%"
"2008年02月29日","53,300.0","54,200.0","54,400.0","53,100.0","46.30K","-5.66%"
"2008年02月28日","56,500.0","56,700.0","57,300.0","56,100.0","27.50K","-0.88%"
"2008年02月27日","57,000.0","58,800.0","58,900.0","56,800.0","38.30K","-1.38%"
"2008年02月26日","57,800.0","57,400.0","58,500.0","57,100.0","46.30K","3.03%"
"2008年02月25日","56,100.0","55,100.0","56,200.0","55,100.0","50.80K","3.70%"
"2008年02月22日","54,100.0","52,900.0","54,900.0","52,600.0","49.00K","1.31%"
"2008年02月21日","53,400.0","52,000.0","53,700.0","51,700.0","39.90K","4.71%"
"2008年02月20日","51,000.0","52,700.0","52,700.0","51,000.0","33.00K","-1.73%"
"2008年02月19日","51,900.0","51,800.0","52,300.0","51,300.0","28.80K","1.57%"
"2008年02月18日","51,100.0","51,700.0","52,500.0","51,000.0","29.60K","-1.16%"
"2008年02月15日","51,700.0","50,200.0","52,000.0","50,100.0","39.50K","0.39%"
"2008年02月14日","51,500.0","50,100.0","51,900.0","49,850.0","48.50K","7.07%"
"2008年02月13日","48,100.0","48,500.0","48,800.0","48,050.0","41.70K","3.00%"
"2008年02月12日","46,700.0","46,150.0","47,700.0","45,950.0","37.80K","-1.37%"
"2008年02月08日","47,350.0","48,000.0","48,700.0","46,700.0","43.60K","1.18%"
"2008年02月07日","46,800.0","46,250.0","47,350.0","45,900.0","47.40K","1.19%"
"2008年02月06日","46,250.0","46,700.0","46,850.0","45,600.0","96.30K","-5.03%"
"2008年02月05日","48,700.0","50,800.0","51,000.0","48,100.0","88.00K","-3.18%"
"2008年02月04日","50,300.0","53,500.0","53,800.0","50,000.0","91.30K","-5.09%"
"2008年02月01日","53,000.0","52,300.0","54,400.0","51,800.0","50.20K","0.95%"
"2008年01月31日","52,500.0","48,700.0","52,700.0","48,500.0","111.10K","3.96%"
"2008年01月30日","50,500.0","49,950.0","51,600.0","49,600.0","72.50K","1.92%"
"2008年01月29日","49,550.0","48,600.0","49,800.0","47,100.0","117.90K","5.43%"
"2008年01月28日","47,000.0","51,000.0","51,000.0","47,000.0","115.10K","-9.62%"
"2008年01月25日","52,000.0","55,700.0","55,700.0","51,300.0","113.00K","-2.26%"
"2008年01月24日","53,200.0","55,000.0","55,100.0","51,800.0","118.30K","-2.39%"
"2008年01月23日","54,500.0","53,900.0","55,100.0","52,400.0","120.00K","8.13%"
"2008年01月22日","50,400.0","49,900.0","52,900.0","49,000.0","108.80K","-4.73%"
"2008年01月21日","52,900.0","54,200.0","54,800.0","52,700.0","39.30K","-3.82%"
"2008年01月18日","55,000.0","50,700.0","55,300.0","50,200.0","102.40K","3.38%"
"2008年01月17日","53,200.0","53,800.0","55,800.0","49,700.0","126.20K","-1.48%"
"2008年01月16日","54,000.0","55,900.0","56,300.0","54,000.0","82.00K","-8.47%"
"2008年01月15日","59,000.0","61,000.0","61,200.0","58,600.0","58.20K","-1.67%"
"2008年01月11日","60,000.0","61,100.0","61,500.0","60,000.0","68.20K","0.00%"
"2008年01月10日","60,000.0","60,900.0","61,900.0","60,000.0","48.90K","0.17%"
"2008年01月09日","59,900.0","57,500.0","60,100.0","56,900.0","83.70K","1.53%"
"2008年01月08日","59,000.0","59,700.0","60,500.0","58,000.0","80.90K","-1.50%"
"2008年01月07日","59,900.0","60,200.0","61,500.0","59,600.0","87.50K","-5.67%"
"2008年01月04日","63,500.0","64,100.0","64,500.0","62,000.0","72.30K","-4.51%"
"2007年12月28日","66,500.0","66,100.0","67,100.0","65,900.0","37.80K","-1.19%"
"2007年12月27日","67,300.0","67,300.0","67,300.0","66,500.0","26.50K","0.15%"
"2007年12月26日","67,200.0","66,000.0","67,200.0","65,700.0","26.60K","1.82%"
"2007年12月25日","66,000.0","66,200.0","66,400.0","65,300.0","28.40K","2.80%"
"2007年12月21日","64,200.0","62,400.0","64,300.0","61,000.0","54.00K","3.72%"
"2007年12月20日","61,900.0","63,500.0","63,600.0","61,600.0","28.90K","-0.96%"
"2007年12月19日","62,500.0","62,700.0","64,000.0","62,300.0","49.90K","-0.16%"
"2007年12月18日","62,600.0","63,300.0","64,000.0","62,100.0","55.60K","-2.64%"
"2007年12月17日","64,300.0","65,500.0","66,400.0","64,300.0","43.90K","-1.08%"
"2007年12月14日","65,000.0","65,400.0","66,300.0","64,200.0","154.00K","0.62%"
"2007年12月13日","64,600.0","66,000.0","66,600.0","64,600.0","55.60K","-2.12%"
"2007年12月12日","66,000.0","65,500.0","66,400.0","65,200.0","62.50K","-1.64%"
"2007年12月11日","67,100.0","68,000.0","68,200.0","66,400.0","40.00K","-1.47%"
"2007年12月10日","68,100.0","68,400.0","68,600.0","67,500.0","30.60K","-0.29%"
